proposal_id,client_id,client_name,proposal_name,industry,service_line,submitted_date,proposed_value_usd,status,decision_date,primary_competitor,win_loss_reason,partner_lead_id,partner_lead_name,resulting_engagement_id
PROP-001,CLI-001,Apex Financial Group,Enterprise Data Platform & AI Risk Analytics,Financial Services,Data & AI Advisory,2023-12-16,1800000,Won,2024-02-18,West Monroe,Strong case study match,CON-004,Amara Diallo,ENG-001
PROP-002,CLI-001,Apex Financial Group,Credit Risk Model Refresh,Financial Services,Data & AI Advisory,2024-09-29,650000,Won,2024-10-30,West Monroe,Faster proposal turnaround,CON-004,Amara Diallo,ENG-002
PROP-003,CLI-001,Apex Financial Group,Regulatory Reporting Modernization,Financial Services,Technology Implementation,2025-07-04,1100000,Won,2025-08-31,Accenture,Named team with prior relationship,CON-002,Tariq Osei,ENG-003
PROP-004,CLI-002,First Republic Advisors,Azure Cloud Migration,Financial Services,Technology Implementation,2024-03-11,1200000,Won,2024-05-16,Accenture,Industry expertise depth,CON-002,Tariq Osei,ENG-004
PROP-005,CLI-003,Commonwealth Insurance Group,Post-Merger Tech Integration,Financial Services,Technology Implementation,2023-11-27,2100000,Won,2023-12-31,Protiviti,Industry expertise depth,CON-001,Helen Marsh,ENG-005
PROP-006,CLI-003,Commonwealth Insurance Group,Claims Analytics Platform,Financial Services,Data & AI Advisory,2025-05-29,980000,Won,2025-07-27,Accenture,Named team with prior relationship,CON-004,Amara Diallo,ENG-006
PROP-007,CLI-004,Pinnacle Credit Union,Data Strategy & Analytics Modernization,Financial Services,Data & AI Advisory,2024-08-05,650000,Won,2024-09-02,Capgemini,Existing relationship / trusted advisor,CON-002,Tariq Osei,ENG-007
PROP-008,CLI-005,Trident Capital Markets,Trading Platform Modernization,Financial Services,Technology Implementation,2024-04-23,1600000,Won,2024-05-28,West Monroe,Strong case study match,CON-004,Amara Diallo,ENG-008
PROP-009,CLI-005,Trident Capital Markets,Risk Data Lake Build,Financial Services,Data & AI Advisory,2025-08-04,820000,Won,2025-09-25,Capgemini,Named team with prior relationship,CON-004,Amara Diallo,ENG-009
PROP-010,CLI-006,Beacon State Bank,Digital Banking Strategy,Financial Services,Strategy & Transformation,2024-03-07,480000,Won,2024-04-12,Boutique AI Firm,Faster proposal turnaround,CON-002,Tariq Osei,ENG-010
PROP-011,CLI-007,Sterling Wealth Partners,Client Intelligence Platform,Financial Services,Data & AI Advisory,2024-08-19,920000,Won,2024-10-27,Boutique AI Firm,Microsoft ecosystem fit,CON-001,Helen Marsh,ENG-011
PROP-012,CLI-008,Atlas Mutual Insurance,Underwriting AI Pilot,Financial Services,Data & AI Advisory,2024-12-13,720000,Won,2025-02-06,West Monroe,Outcome-based pricing structure,CON-004,Amara Diallo,ENG-012
PROP-013,CLI-008,Atlas Mutual Insurance,Policy Admin Modernization,Financial Services,Technology Implementation,2025-06-29,1380000,Won,2025-09-09,Accenture,Existing relationship / trusted advisor,CON-001,Helen Marsh,ENG-013
PROP-014,CLI-009,Cobalt Investment Group,Cloud Migration Discovery,Financial Services,Strategy & Transformation,2024-07-08,180000,Won,2024-09-15,Deloitte,Strong case study match,CON-002,Tariq Osei,ENG-014
PROP-015,CLI-009,Cobalt Investment Group,Data Platform Build,Financial Services,Technology Implementation,2025-02-10,380000,Won,2025-03-02,Protiviti,Industry expertise depth,CON-002,Tariq Osei,ENG-015
PROP-016,CLI-010,Heritage Federal Savings,Branch Operations Optimization,Financial Services,Operational Excellence,2024-10-24,320000,Won,2024-11-28,Slalom,Best technical approach,CON-002,Tariq Osei,ENG-016
PROP-017,CLI-010,Heritage Federal Savings,Customer 360 Implementation,Financial Services,Technology Implementation,2025-05-22,720000,Won,2025-07-01,Accenture,Faster proposal turnaround,CON-002,Tariq Osei,ENG-017
PROP-018,CLI-011,NovaCare Health Systems,Clinical Operations & M365 Modernization,Healthcare,Technology Implementation,2023-12-14,2400000,Won,2024-02-10,Boutique AI Firm,Strong case study match,CON-003,Rachel Whitfield,ENG-018
PROP-019,CLI-011,NovaCare Health Systems,Copilot Adoption Expansion,Healthcare,Operational Excellence,2024-10-27,680000,Won,2024-11-19,West Monroe,Best technical approach,CON-003,Rachel Whitfield,ENG-019
PROP-020,CLI-011,NovaCare Health Systems,Epic Data Platform Build,Healthcare,Data & AI Advisory,2025-07-18,1420000,Won,2025-08-06,Deloitte,Strong case study match,CON-004,Amara Diallo,ENG-020
PROP-021,CLI-012,CareFirst BlueCross,Claims Analytics Platform,Healthcare,Data & AI Advisory,2024-01-11,1100000,Won,2024-03-27,West Monroe,Microsoft ecosystem fit,CON-004,Amara Diallo,ENG-021
PROP-022,CLI-012,CareFirst BlueCross,Member Engagement Platform,Healthcare,Technology Implementation,2025-03-03,1380000,Won,2025-05-02,Accenture,Faster proposal turnaround,CON-003,Rachel Whitfield,ENG-022
PROP-023,CLI-013,Regional Medical Center Alliance,EHR Integration & Data Platform,Healthcare,Technology Implementation,2024-06-16,1600000,Won,2024-08-17,Slalom,Named team with prior relationship,CON-003,Rachel Whitfield,ENG-023
PROP-024,CLI-013,Regional Medical Center Alliance,Population Health Analytics,Healthcare,Data & AI Advisory,2025-08-07,920000,Won,2025-09-05,Capgemini,Best technical approach,CON-004,Amara Diallo,ENG-024
PROP-025,CLI-014,Bright Horizons Behavioral Health,Telehealth Platform & Compliance,Healthcare,Technology Implementation,2024-03-09,480000,Won,2024-04-11,West Monroe,Named team with prior relationship,CON-006,Priya Sharma,ENG-025
PROP-026,CLI-015,Pacific Northwest Health Plan,Member Risk Stratification Models,Healthcare,Data & AI Advisory,2024-04-24,920000,Won,2024-06-07,Capgemini,Existing relationship / trusted advisor,CON-004,Amara Diallo,ENG-026
PROP-027,CLI-015,Pacific Northwest Health Plan,Care Management Workflow,Healthcare,Operational Excellence,2025-08-07,580000,Won,2025-09-29,Accenture,Named team with prior relationship,CON-003,Rachel Whitfield,ENG-027
PROP-028,CLI-016,Cascade Children's Hospital,M365 & Teams for Clinical Coordination,Healthcare,Technology Implementation,2024-05-11,380000,Won,2024-07-27,Accenture,Microsoft ecosystem fit,CON-006,Priya Sharma,ENG-028
PROP-029,CLI-016,Cascade Children's Hospital,Patient Experience Platform,Healthcare,Strategy & Transformation,2025-01-28,280000,Won,2025-04-11,Deloitte,Existing relationship / trusted advisor,CON-006,Priya Sharma,ENG-029
PROP-030,CLI-017,Summit Specialty Pharmacy,Supply Chain Analytics,Healthcare,Data & AI Advisory,2024-09-17,380000,Won,2024-12-09,Slalom,Strong case study match,CON-003,Rachel Whitfield,ENG-030
PROP-031,CLI-018,Lakeside Senior Living Group,Operational Performance Improvement,Healthcare,Operational Excellence,2025-05-25,290000,Won,2025-06-27,Protiviti,Outcome-based pricing structure,CON-006,Priya Sharma,ENG-031
PROP-032,CLI-019,Titan Industrial Solutions,Connected Factory Platform (Pilot),Industrial,Data & AI Advisory,2023-10-30,1400000,Won,2024-01-14,Slalom,Strong case study match,CON-004,Amara Diallo,ENG-032
PROP-033,CLI-019,Titan Industrial Solutions,Connected Factory Scale-Out,Industrial,Technology Implementation,2024-06-09,1600000,Won,2024-07-30,Capgemini,Industry expertise depth,CON-004,Amara Diallo,ENG-033
PROP-034,CLI-019,Titan Industrial Solutions,Predictive Quality Models,Industrial,Data & AI Advisory,2025-08-05,980000,Won,2025-09-22,West Monroe,Microsoft ecosystem fit,CON-004,Amara Diallo,ENG-034
PROP-035,CLI-020,Beacon Industrial Corporation,IoT Strategy & Connected Operations,Industrial,Data & AI Advisory,2024-07-23,1065000,Won,2024-10-11,Slalom,Outcome-based pricing structure,CON-004,Amara Diallo,ENG-035
PROP-036,CLI-020,Beacon Industrial Corporation,MES Integration,Industrial,Technology Implementation,2025-06-15,580000,Won,2025-08-12,Deloitte,Industry expertise depth,CON-002,Tariq Osei,ENG-036
PROP-037,CLI-021,Horizon Logistics,Operational Turnaround,Industrial,Operational Excellence,2023-10-11,2600000,Won,2023-10-29,Capgemini,Outcome-based pricing structure,CON-003,Rachel Whitfield,ENG-037
PROP-038,CLI-021,Horizon Logistics,Route Optimization Analytics,Industrial,Data & AI Advisory,2024-08-30,780000,Won,2024-09-22,Deloitte,Outcome-based pricing structure,CON-003,Rachel Whitfield,ENG-038
PROP-039,CLI-022,Cornerstone Manufacturing,Digital Transformation Roadmap,Industrial,Strategy & Transformation,2024-02-20,320000,Won,2024-03-10,Deloitte,Outcome-based pricing structure,CON-008,Elena Vasquez,ENG-039
PROP-040,CLI-022,Cornerstone Manufacturing,ERP Modernization,Industrial,Technology Implementation,2024-08-08,1240000,Won,2024-10-08,Boutique AI Firm,Outcome-based pricing structure,CON-008,Elena Vasquez,ENG-040
PROP-041,CLI-023,Vanguard Materials Group,Quality Analytics Pilot,Industrial,Data & AI Advisory,2024-04-20,420000,Won,2024-05-26,West Monroe,Industry expertise depth,CON-008,Elena Vasquez,ENG-041
PROP-042,CLI-024,Northstar Energy Services,Field Operations Mobile Platform,Industrial,Technology Implementation,2024-01-10,1400000,Won,2024-02-21,West Monroe,Faster proposal turnaround,CON-002,Tariq Osei,ENG-042
PROP-043,CLI-024,Northstar Energy Services,Asset Performance Management,Industrial,Data & AI Advisory,2025-04-03,920000,Won,2025-06-18,Slalom,Industry expertise depth,CON-004,Amara Diallo,ENG-043
PROP-044,CLI-025,Pioneer Logistics Group,Warehouse Analytics,Industrial,Data & AI Advisory,2024-07-26,340000,Won,2024-08-30,Capgemini,Outcome-based pricing structure,CON-003,Rachel Whitfield,ENG-044
PROP-045,CLI-004,Pinnacle Credit Union,Core Banking Discovery,Financial Services,Strategy & Transformation,2025-06-05,280000,Won,2025-08-03,Slalom,Named team with prior relationship,CON-002,Tariq Osei,ENG-045
PROP-046,CLI-022,Cornerstone Manufacturing,Plant Floor IoT Pilot,Industrial,Data & AI Advisory,2025-07-24,380000,Won,2025-09-05,West Monroe,Existing relationship / trusted advisor,CON-008,Elena Vasquez,ENG-046
PROP-047,CLI-017,Summit Specialty Pharmacy,Inventory Forecasting Models,Healthcare,Data & AI Advisory,2025-08-18,320000,Won,2025-10-16,Accenture,Microsoft ecosystem fit,CON-003,Rachel Whitfield,ENG-047
PROP-048,CLI-006,Beacon State Bank,Branch Network Analytics,Financial Services,Data & AI Advisory,2024-11-14,380000,Won,2025-01-03,Boutique AI Firm,Strong case study match,CON-002,Tariq Osei,ENG-048
PROP-049,CLI-007,Sterling Wealth Partners,Client Lifecycle Automation,Financial Services,Technology Implementation,2025-02-04,540000,Won,2025-03-26,Slalom,Best technical approach,CON-001,Helen Marsh,ENG-049
PROP-050,CLI-008,Atlas Mutual Insurance,Sales Operations Dashboard,Financial Services,Data & AI Advisory,2024-11-26,240000,Won,2025-01-21,Deloitte,Industry expertise depth,CON-004,Amara Diallo,ENG-050
PROP-051,CLI-001,Apex Financial Group,Mobile Banking Redesign,Financial Services,Technology Implementation,2025-11-05,1200000,Lost,2025-12-28,Slalom,Lower price from competitor,CON-001,Helen Marsh,
PROP-052,CLI-002,First Republic Advisors,Compliance Analytics Pilot,Financial Services,Data & AI Advisory,2024-11-04,480000,Lost,2024-12-23,Boutique AI Firm,Faster proposal turnaround by competitor,CON-002,Tariq Osei,
PROP-053,CLI-003,Commonwealth Insurance Group,Customer Service Modernization,Financial Services,Technology Implementation,2025-10-20,1800000,Lost,2025-11-10,Accenture,Brand preference (Big 4),CON-001,Helen Marsh,
PROP-054,CLI-004,Pinnacle Credit Union,Digital Onboarding,Financial Services,Technology Implementation,2024-03-03,420000,Lost,2024-04-22,West Monroe,Lower price from competitor,CON-002,Tariq Osei,
PROP-055,CLI-005,Trident Capital Markets,Market Surveillance AI,Financial Services,Data & AI Advisory,2025-02-15,1100000,Lost,2025-04-03,Boutique AI Firm,Faster proposal turnaround by competitor,CON-004,Amara Diallo,
PROP-056,CLI-006,Beacon State Bank,Loan Pricing Models,Financial Services,Data & AI Advisory,2024-04-20,320000,Lost,2024-06-10,Slalom,Lower price from competitor,CON-002,Tariq Osei,
PROP-057,CLI-007,Sterling Wealth Partners,Marketing Analytics,Financial Services,Data & AI Advisory,2025-03-30,380000,Lost,2025-04-23,West Monroe,Decision deferred / budget cut,CON-001,Helen Marsh,
PROP-058,CLI-009,Cobalt Investment Group,Fund Performance Dashboard,Financial Services,Data & AI Advisory,2024-03-23,280000,Lost,2024-05-02,Slalom,Internal capability chosen instead,CON-002,Tariq Osei,
PROP-059,CLI-010,Heritage Federal Savings,Core Modernization Strategy,Financial Services,Strategy & Transformation,2025-09-14,580000,Lost,2025-10-13,Capgemini,Brand preference (Big 4),CON-002,Tariq Osei,
PROP-060,CLI-008,Atlas Mutual Insurance,Customer 360 Build,Financial Services,Technology Implementation,2024-03-08,1600000,Lost,2024-04-05,Accenture,Brand preference (Big 4),CON-004,Amara Diallo,
PROP-061,CLI-011,NovaCare Health Systems,Patient Portal Redesign,Healthcare,Technology Implementation,2024-10-08,920000,Lost,2024-12-06,Slalom,Faster proposal turnaround by competitor,CON-003,Rachel Whitfield,
PROP-062,CLI-012,CareFirst BlueCross,Underwriting Modernization,Healthcare,Technology Implementation,2025-10-10,2200000,Lost,2025-12-06,Deloitte,Brand preference (Big 4),CON-004,Amara Diallo,
PROP-063,CLI-013,Regional Medical Center Alliance,Revenue Cycle Optimization,Healthcare,Operational Excellence,2025-07-15,1100000,Lost,2025-08-24,Accenture,Lower price from competitor,CON-003,Rachel Whitfield,
PROP-064,CLI-014,Bright Horizons Behavioral Health,EHR Migration,Healthcare,Technology Implementation,2025-01-25,680000,Lost,2025-03-24,Capgemini,Scope mismatch,CON-006,Priya Sharma,
PROP-065,CLI-015,Pacific Northwest Health Plan,Claims Auto-Adjudication,Healthcare,Operational Excellence,2025-06-27,1400000,Lost,2025-08-04,Accenture,Brand preference (Big 4),CON-004,Amara Diallo,
PROP-066,CLI-016,Cascade Children's Hospital,Pediatric Outcomes Analytics,Healthcare,Data & AI Advisory,2025-04-09,380000,Lost,2025-05-31,Boutique AI Firm,Faster proposal turnaround by competitor,CON-006,Priya Sharma,
PROP-067,CLI-017,Summit Specialty Pharmacy,Pharmacy Operations Platform,Healthcare,Technology Implementation,2025-09-11,720000,Lost,2025-10-28,West Monroe,Lower price from competitor,CON-003,Rachel Whitfield,
PROP-068,CLI-018,Lakeside Senior Living Group,Resident Care Analytics,Healthcare,Data & AI Advisory,2024-04-11,320000,Lost,2024-05-08,Boutique AI Firm,Faster proposal turnaround by competitor,CON-006,Priya Sharma,
PROP-069,CLI-019,Titan Industrial Solutions,ERP Modernization,Industrial,Technology Implementation,2025-11-01,2400000,Lost,2025-12-26,Accenture,Brand preference (Big 4),CON-004,Amara Diallo,
PROP-070,CLI-020,Beacon Industrial Corporation,Quality Management Modernization,Industrial,Operational Excellence,2024-08-08,680000,Lost,2024-09-24,West Monroe,Lower price from competitor,CON-004,Amara Diallo,
PROP-071,CLI-021,Horizon Logistics,Driver App Modernization,Industrial,Technology Implementation,2025-04-07,920000,Lost,2025-05-11,Slalom,Faster proposal turnaround by competitor,CON-003,Rachel Whitfield,
PROP-072,CLI-022,Cornerstone Manufacturing,Workforce Analytics,Industrial,Data & AI Advisory,2025-02-27,480000,Lost,2025-04-09,Boutique AI Firm,Faster proposal turnaround by competitor,CON-008,Elena Vasquez,
PROP-073,CLI-023,Vanguard Materials Group,Supply Chain Optimization,Industrial,Operational Excellence,2025-04-09,720000,Lost,2025-05-24,Capgemini,Decision deferred / budget cut,CON-008,Elena Vasquez,
PROP-074,CLI-024,Northstar Energy Services,Carbon Tracking Platform,Industrial,Data & AI Advisory,2025-03-01,580000,Lost,2025-03-27,Boutique AI Firm,Faster proposal turnaround by competitor,CON-002,Tariq Osei,
PROP-075,CLI-025,Pioneer Logistics Group,Customer Service AI,Industrial,Data & AI Advisory,2024-11-16,380000,Lost,2025-01-02,Slalom,Lower price from competitor,CON-003,Rachel Whitfield,
PROP-076,CLI-001,Apex Financial Group,Wealth Mgmt CRM Build,Financial Services,Technology Implementation,2024-11-16,1400000,Lost,2024-12-22,Accenture,Brand preference (Big 4),CON-001,Helen Marsh,
PROP-077,CLI-012,CareFirst BlueCross,Member Mobile App,Healthcare,Technology Implementation,2025-01-18,1100000,Lost,2025-02-16,Slalom,Faster proposal turnaround by competitor,CON-004,Amara Diallo,
PROP-078,CLI-005,Trident Capital Markets,Front-Office Trader Tools,Financial Services,Technology Implementation,2025-04-30,1600000,Lost,2025-05-24,Accenture,Brand preference (Big 4),CON-004,Amara Diallo,
PROP-079,CLI-011,NovaCare Health Systems,Operating Room Optimization,Healthcare,Operational Excellence,2024-04-03,820000,Lost,2024-04-28,West Monroe,Internal capability chosen instead,CON-003,Rachel Whitfield,
PROP-080,CLI-010,Heritage Federal Savings,Fraud Detection Modernization,Financial Services,Data & AI Advisory,2024-04-05,420000,Lost,2024-05-22,Boutique AI Firm,Faster proposal turnaround by competitor,CON-002,Tariq Osei,
PROP-081,CLI-007,Sterling Wealth Partners,Robo-Advisor Platform,Financial Services,Technology Implementation,2024-04-08,1200000,Lost,2024-05-21,Boutique AI Firm,Lower price from competitor,CON-001,Helen Marsh,
PROP-082,CLI-022,Cornerstone Manufacturing,Plant Scheduling AI,Industrial,Data & AI Advisory,2024-05-13,380000,Lost,2024-07-07,Boutique AI Firm,Faster proposal turnaround by competitor,CON-008,Elena Vasquez,
PROP-083,CLI-008,Atlas Mutual Insurance,Agent Portal Modernization,Financial Services,Technology Implementation,2024-03-02,920000,Lost,2024-04-28,Capgemini,Lower price from competitor,CON-004,Amara Diallo,
PROP-084,CLI-002,First Republic Advisors,Wealth Platform Analytics,Financial Services,Data & AI Advisory,2026-05-18,780000,Pending,,West Monroe,,CON-002,Tariq Osei,
PROP-085,CLI-004,Pinnacle Credit Union,Member Analytics Platform,Financial Services,Data & AI Advisory,2026-05-18,540000,Pending,,Slalom,,CON-002,Tariq Osei,
PROP-086,CLI-008,Atlas Mutual Insurance,Generative AI for Underwriting,Financial Services,Data & AI Advisory,2026-05-11,1400000,Pending,,Capgemini,,CON-004,Amara Diallo,
PROP-087,CLI-012,CareFirst BlueCross,Prior Auth Automation,Healthcare,Operational Excellence,2026-05-04,1300000,Pending,,Accenture,,CON-004,Amara Diallo,
PROP-088,CLI-014,Bright Horizons Behavioral Health,Patient Outcomes Analytics,Healthcare,Data & AI Advisory,2026-05-14,480000,Pending,,Boutique AI Firm,,CON-006,Priya Sharma,
PROP-089,CLI-019,Titan Industrial Solutions,Plant Cybersecurity Modernization,Industrial,Technology Implementation,2026-05-12,1200000,Pending,,Accenture,,CON-004,Amara Diallo,
PROP-090,CLI-022,Cornerstone Manufacturing,MES Cloud Migration,Industrial,Technology Implementation,2026-05-14,920000,Pending,,West Monroe,,CON-008,Elena Vasquez,
PROP-091,CLI-025,Pioneer Logistics Group,Fleet Analytics Platform,Industrial,Data & AI Advisory,2026-05-02,540000,Pending,,Slalom,,CON-003,Rachel Whitfield,
